query,count,totalCount,timeMs,verdict,firstProduct
"nike",5,1000,3070,PASS,"Nike Black & Gold Kawa Junior Sandals"
"adidas",5,1000,1115,PASS,"adidas  GAZELLE CF I  boys's Children's "
"clarks",5,1000,184,PASS,"Clarkston Nice Cup Of Tea Mug"
"lego",5,1000,93,PASS,"LEGO Friends: Mini Pocket Book (5002111)"
"barbie",5,1000,74,PASS,"Disney Barbie LED Watch; Multi"
"playmobil",5,6,66,PASS,"TEMU Playmobil 9497 - Brinquedo dos Reis"
"disney",5,1000,1267,PASS,"Ravensburger Disney; The Lion King Colle"
"paw patrol",5,14,74,PASS,"Crocs Baby Classic Paw Patrol Clog Infan"
"peppa pig",5,1000,73,PASS,"Personalised Peppa Pig First Year Record"
"pokemon",5,18,54,PASS,"Crocs Black Multi X Pokemon Clog Toddler"
"hot wheels",5,28,69,PASS,"M&S Kids' Hot Wheels™ High Top Trainer"
"crocs",5,1000,225,PASS,"Crocs Kid's Navy/Green Clog - Size 6"
"vans",5,1000,306,PASS,"Vans & Villains : Volume 27"
"bluey",5,47,59,PASS,"M&S Adaptive Bluey™ Ribbed Pyjamas (1-"
"harry potter",5,1000,246,PASS,"LEGO Harry Potter: Knight Bus Toy (75957"
"frozen",5,1000,92,PASS,"Disney Frozen Kids Interactive Watch w/ "
"marvel",5,1000,190,PASS,"LEGO Marvel Avengers Ultimate Quinjet Pl"
"school shoes",5,1000,135,PASS,"M&S Kids' Leather School Shoes (13 Small"
"trainers",5,1000,1541,PASS,"Nike White Air Force 1 Crib Baby Trainer"
"toys",5,1000,104,PASS,"LEGO Speed Champions: Mini Cooper Rally "
"dolls",5,47,70,PASS,"Personalised Dolls House Starter Set"
"pyjamas",5,1000,88,PASS,"Arsenal Adult Cannon Snowflake Pyjamas; "
"nike air force 1",5,30,15665,SPEED_BUG,"Nike x NOCTA Air Force 1 Low; Pink"
"dr martens",5,67,1619,PASS,"Dr Martens Dr Martens 1460 Boots - Size "
"hugo boss",5,17079,39769,SPEED_BUG,"Nike Air Force 1 PLT.AF.ORM Women's Shoe"
"ray ban",0,0,7513,INVENTORY_GAP,"-"
"sylvanian families",0,0,7011,INVENTORY_GAP,"-"
"cocomelon",1,1,90,PASS,"Cocomelon 2-Pack Pure Cotton Pyjama Set "
"coat",5,30,18365,SPEED_BUG,"Dill Chunky Coat Buttons (Value Pack) Le"
"scooter",5,30,18382,SPEED_BUG,"Kids Scooter with Lights"
"bike",5,30,33276,SPEED_BUG,"Decathlon Mx2/3/4/5 Disc Brake Pads"
"puzzles",5,7,162,PASS,"Star Wars Crossword Puzzles : And Other "
"books",5,30,46230,SPEED_BUG,"Dead Heat"
